basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
159c4,12,3,8,0,0,0,0,0,1,0,9,3,0,0,0,2,90.0
159fc,4,0,3,0,0,0,1,0,0,0,3,0,0,0,1,2,124.5
15a0c,6,3,2,0,0,0,0,1,0,0,6,0,0,0,0,2,87.0
15a40,4,1,2,0,0,0,1,0,0,0,2,1,0,0,1,1,103.0
15a50,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,126.0
15a58,6,2,1,1,0,0,0,1,0,0,6,0,0,0,0,1,131.0
15b44,5,1,2,0,0,1,0,0,0,0,3,1,0,1,0,2,76.0
15b58,7,0,6,0,0,0,0,0,1,0,7,0,0,0,0,1,138.0
15b80,9,0,7,0,0,0,0,0,1,1,7,1,0,0,0,1,132.0
15b84,8,0,7,0,0,0,0,0,1,1,7,0,0,0,0,1,138.0
15bb0,5,1,2,0,0,0,0,1,0,0,4,1,0,0,0,2,61.5
15be0,8,2,5,0,0,0,0,0,1,0,6,2,0,0,0,1,102.0
15c08,5,2,2,0,0,0,0,1,0,0,5,0,0,0,0,1,137.0
15c30,27,0,0,0,0,0,0,1,0,0,14,13,0,0,0,2,131.5
