basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
12938,31,8,9,0,0,0,1,0,0,0,10,19,1,0,1,1,103.0
129b4,27,0,8,0,0,0,1,0,0,0,9,12,5,0,1,1,103.0
12a20,19,0,4,0,0,0,1,0,0,0,5,12,1,0,1,1,103.0
12a6c,17,8,2,0,0,0,0,1,0,0,11,6,0,0,0,1,103.0
12c40,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,103.0
12c4c,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,138.0
12c50,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,56.333333333333336
12c54,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,64.66666666666667
12c80,11,3,4,0,0,1,0,0,0,1,4,3,2,1,0,1,139.0
12cac,6,0,4,0,1,0,0,1,0,1,5,0,0,0,0,1,138.0
12cc4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,132.0
12cc8,5,3,1,0,0,0,0,1,0,0,5,0,0,0,0,1,103.0
12ff4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,130.0
12ff8,7,3,3,0,0,0,1,0,0,0,3,3,0,0,1,1,137.0
13014,10,0,3,2,0,1,0,0,0,1,7,0,1,1,0,1,138.0
130d8,6,3,2,0,0,0,1,0,0,0,5,0,0,0,1,1,137.0
131f8,3,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,139.0
13220,5,0,0,1,0,1,0,0,0,0,2,2,0,1,0,1,130.0
1331c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,103.0
13324,19,12,4,1,0,1,0,0,0,0,6,12,0,1,0,1,138.0
13370,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,131.0
133fc,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1,104.0
13408,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,197.0
1340c,4,0,0,1,0,1,0,0,0,0,3,0,0,1,0,1,131.0
1341c,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,104.0
134c4,5,0,4,0,0,1,0,0,0,0,4,0,0,1,0,1,132.0
134d4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,131.0
134dc,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,62.0
134e4,6,0,2,0,0,1,0,0,0,0,5,0,0,1,0,1,131.0
134e8,5,0,1,0,0,1,0,0,0,0,4,0,0,1,0,1,130.0
134fc,3,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,102.0
13508,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,61.5
1352c,3,0,2,0,0,1,0,0,0,1,1,0,0,1,0,2,87.5
13538,6,0,3,0,0,1,0,0,0,3,1,1,0,1,0,2,130.5
13550,15,12,2,0,0,0,0,1,0,0,15,0,0,0,0,1,102.0
1358c,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1,137.0
13598,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,102.0
135b8,4,0,1,0,0,1,0,0,0,0,3,0,0,1,0,2,62.0
135c8,4,0,3,0,0,0,1,0,0,0,3,0,0,0,1,2,90.5
135d8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,93.0
