basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
12a24,27,0,8,0,0,0,1,0,0,0,9,12,5,0,1,1,135.0
12a90,19,0,4,0,0,0,1,0,0,0,5,12,1,0,1,1,103.0
12adc,17,8,2,0,0,0,0,1,0,0,11,6,0,0,0,1,135.0
12cb0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,139.0
12cbc,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,132.0
12cc0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,57.0
12cc4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,73.33333333333333
12cf0,11,3,4,0,0,1,0,0,0,1,4,3,2,1,0,1,130.0
12d1c,6,0,4,0,1,0,0,1,0,1,5,0,0,0,0,1,137.0
12d34,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,195.0
12d38,5,3,1,0,0,0,0,1,0,0,5,0,0,0,0,1,135.0
13064,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,130.0
13068,7,3,3,0,0,0,1,0,0,0,3,3,0,0,1,1,139.0
13084,10,0,3,2,0,1,0,0,0,1,7,0,1,1,0,1,130.0
13148,6,3,2,0,0,0,1,0,0,0,5,0,0,0,1,1,102.0
13268,3,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,102.0
13290,5,0,0,1,0,1,0,0,0,0,2,2,0,1,0,1,130.0
1338c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,139.0
13394,19,12,4,1,0,1,0,0,0,0,6,12,0,1,0,1,140.0
133e0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,132.0
1346c,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1,135.0
13478,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,140.0
1347c,4,0,0,1,0,1,0,0,0,0,3,0,0,1,0,1,131.0
1348c,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,103.0
13534,5,0,4,0,0,1,0,0,0,0,4,0,0,1,0,1,138.0
13544,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,138.0
1354c,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,61.0
13554,6,0,2,0,0,1,0,0,0,0,5,0,0,1,0,1,130.0
13558,5,0,1,0,0,1,0,0,0,0,4,0,0,1,0,1,138.0
1356c,3,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,138.0
13578,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,79.0
1359c,3,0,2,0,0,1,0,0,0,1,1,0,0,1,0,2,75.0
135a8,6,0,3,0,0,1,0,0,0,3,1,1,0,1,0,2,61.5
135c0,15,12,2,0,0,0,0,1,0,0,15,0,0,0,0,1,103.0
135fc,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1,102.0
13608,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,135.0
13628,4,0,1,0,0,1,0,0,0,0,3,0,0,1,0,2,87.5
13638,4,0,3,0,0,0,1,0,0,0,3,0,0,0,1,2,90.0
13648,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,87.5
1364c,3,0,2,0,0,0,1,0,0,1,1,0,0,0,1,1,138.0
137b8,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,2,91.5
137c4,8,0,3,0,0,0,1,0,0,2,3,2,0,0,1,2,125.0
